conversation_id,speaker_id,start_time,end_time,text
1,0,91.13999939,97.73999786,"Hey, can I speak to somebody in the sales department about a Honda, please"
1,1,97.94000244,100.3399963," Okay, one moment."
1,1,101.3799973,103.6600037,This is Gerardo. How can I help you?
1,0,103.6600037,104.6600037,How are you doing?
1,1,104.6600037,105.6600037,Doing good.
1,0,105.6600037,107.4599991,"Hey man, I just want to see if you guys have a car available."
1,1,107.6200027,109.3799973," Yeah, which car are you looking at "
1,0,109.3799973,113.3799973,S is in Sam E is in elephant 0 6 0 0 8 8
1,1,113.3799973,115.0599976, What kind of car is it?  
1,0,115.0599976,118,It is a Honda CRV hybrid sport-touring SUV.
1,1,118,120,"Yes, sir. What color are you looking?"
1,0,120,122.6399999, I am looking at white platinum white pearl. 
1,1,122.6399999,125.6399999,"Yeah, I do have this vehicle in stock."
1,0,126.7800002,132.6000004," That's awesome. Perfect. Well, I am trying to get the best possible deal on it"
1,0,132.6000004,136.6599998, I'm trying to get these deals before the tariffs raise all the prices on all of my other good
1,0,136.6599998,137.9599991, So I'm saving some money here
1,0,137.9599991,139.2000008, So I'm hoping you can just give me the best
1,0,139.2000008,143.2199993, Rocking deal that I can go home to the lady with and she'd be proud of me. So I don't sleep on the couch
1,1,143.5,145.7600002, Gotcha. Are you looking to trade anything in?
1,0,145.7600002,147.7600002," Nope, not looking to trade anything in."
1,0,147.7600002,149.3600006, I just don't want to sleep on the couch Eduardo.
1,1,149.3600006,151.5200005,"Right, right. I don't blame you."
1,1,151.5200005,153.7599983, Are you gonna finance or you get this paid in cash?
1,0,154.4799995,155.1599998, Finance. 
1,1,155.1599998,157.1599998,You're financing it. Okay. 
1,0,157.1599998,159.1599998,"Oh, was it Eduardo or Gerardo?"
1,1,159.1599998,161.1599998, It was Gerardo.
1,0,161.1599998,163.1599998," Okay, my memory's not what it used to be."
1,1,165,166.5600014, Are you local? 
1,0,166.5600014,168.5600014,I'm about an hour away from the dealership. 
1,1,168.5600014,170.5600014,"Okay, and so what's your name again?"
1,0,170.5600014,172.5600014," Well, my name is Tommy"
1,1,173.0800018,175.3600006, Slow me right now. I think I've been overworking it.
1,0,176.2000008,181.8800011," Yeah, yeah, no, I overworked my computer every day too."
1,1,183.2799988,187.5999985," Yeah, so my asking price it's 42,950 I mean if I could somehow save you a couple hundred dollars on your business"
1,1,187.5999985,189.0400009, You are a pretty popular car
1,1,189.0400009,190.1999969,"seller, you know"
1,0,190.1999969,194.8399963, I appreciate. My mom told me that I wasn't allowed to come home until I got a couple thousand dollar discount
1,0,194.8399963,196.8399963, I'm looking for$4000 off
1,1,197.3199997,202.5199966, Got it. Got it. I could bring it up to my boss and I could somehow do that you come by it.
1,0,203.0800018,206.7200012, I mean if you can get four grand off my mom won't disown me.
1,1,209.9599991,215.9599991," Okay, let me take make sure I have your phone number right here and take a look is this."
1,0,216.5599976,218.2399979, that is *phone number*
1,0,218.2399979,219.4000015, correct
1,1,219.4000015,225.4000015," Okay, I'll bring up to my boss Tommy. They're in a meeting right now. Let me ask them. If something we could do."
1,1,225.4000015,229, I'm gonna give you a call back regardless. If I could do it or not.
1,0,229,234.1999969," All right, we'll be in touch. Okay."
1,0,237.0400009,238, This is Tommy.
1,1,238,240,Hey Tommy.
1,0,240,242.8800001," Oh, how's it going? What do you got? Good news?"
1,1,242.8800001,247.2800002,"Presented it to my boss. I can't do $4,000, man. Not in this car. Sorry."
1,1,247.2800002,249.8400002,Highest demand in one right now.
1,0,249.8400002,258.5799999," Ah, bummer, bummer. Okay. I guess I'll move on."
1,1,258.5799999,261.1200008," Yeah, thank you for the opportunity though."
1,0,261.1200008,262.1200008," Hey, no, thank you."
1,1,262.1200008,263.1200008," For sure. Have a good one, Tommy."
1,0,263.1200008,264.1200008, You too. Bye.
1,1,264.1200008,265.1200008, Take care. Bye.
2,1,265.1200008,268.2999992, Hello. This is Tom. How can I help you?
2,0,268.2999992,272.8600006," Tom, it's Tom. How's it going?"
2,1,272.8600006,275.2599983, Oh my God. Is it Tom?
2,0,275.2599983,277.9399986," Tom, it's Tom. How is Tom?"
2,1,277.9399986,281.6199989," You know, I'm just all Tommed up, man. What's going on?"
2,0,281.6199989,284.7799988," Hey, man. I just want to see if you have a car available."
2,1,284.7799988,285.7799988, What is it?
2,0,285.7799988,286.7799988, I have a stock number whenever you're ready.
2,1,286.7799988,287.7799988, Go.
2,0,287.7799988,288.7799988, 2833394?
2,1,288.7799988,295.3800011, Let me get into this computer. It just kicked me out. All right. Let's see here. Is a white
2,1,295.3800011,300.2999992," with a gray interior, all wheel drive touring CRV hybrid?"
2,0,300.2999992,302.3800011, Yep. That's it.  
2,1,302.3800011,310.6999969,"That's the one. Let's see here. I don't have that yet. It will be here tomorrow, but I"
2,1,310.6999969,316.6600037, have another one that came in yesterday. Are you hooked down to that ID number for one
2,1,316.6600037,318.9400024," reason or another, or you just wanted a white gray?"
2,0,318.9400024,323.1399994, I'm looking for a white with black or gray. Either one. I'm fine with either one.
2,1,323.1399994,328.1399994," Okay. Well, I've got a white with gray sitting here that came in yesterday. So I got it."
2,1,328.1399994,334.8199997," I got it. I got it. I got it. I got it. I got it. I got it. Yeah. Well, come get it,"
2,1,334.8199997,336.6600037, man. What's the holdup? What are you waiting for?
2,0,336.6600037,337.6600037, I'm waiting for the deal.
2,1,337.6600037,343.0199966," Well, I've got them for $1,500 off on the web. I mean, I'm sure that's why you're calling."
2,0,343.0199966,346.8600006," Well, no, I actually have a better deal already here, but I figured you guys had $1,500 off,"
2,0,346.8600006,348.5, so you guys would beat this other deal.
2,1,348.5,353.0999985," Oh, no, we're not. We're the lowest price that I've seen. So if you got a better deal,"
2,1,353.0999985,354.4599991," then you've got a better deal, brother."
2,0,354.4599991,356.8199997," Oh, okay. So you guys won't even compete with it?"
2,1,356.8199997,359.9800034, Nope. Nope. Nope. These things are too hard to come by and you're up in the-
2,1,360,361.6799999," in the city, and you know what I mean?"
2,1,361.6799999,364.7600002," If you were local here, maybe I'd consider it,"
2,1,364.7600002,367.3600001," but I need the service business, I need all that."
2,0,367.3600001,368.1999998," Well, that's a bummer."
2,1,368.1999998,370.6800003," Yeah, that's the way it works, man."
2,1,370.6800003,373.3199997," You gotta do what's right for the local,"
2,1,373.3199997,375.04," for the local people, man."
2,0,375.04,376.2399998," But we're local, because you know."
2,1,376.2399998,377.8799992," I know, yeah."
2,0,377.8799992,378.7199993," You know, Tom and Tom."
2,1,378.7199993,380," Yeah, I know."
2,1,380,381.7600002," I get it, I get it, I get it."
2,1,381.7600002,385.0400009," I only got, I got one more of these for the next seven weeks,"
2,1,385.0400009,386.5599995," so that's all she wrote, man."
2,1,386.5599995,388.7199993, These things are just too hard to come by.
2,0,388.7199993,391.3199997," Yeah, they're, they're."
2,1,393.3199997,396.3199997," They're not plentiful, they're just not plentiful."
2,1,396.3199997,397.9599991," But if you wanna come down and get it,"
2,1,397.9599991,399.5999985," no, if you wanna come down and get it,"
2,1,399.5999985,402," that's the deal, Bubba, that's the deal."
2,0,402,403.3199997," I already have a better deal than that,"
2,0,403.3199997,404.4000015, but I appreciate it.
2,1,404.4000015,405.7599983," All right, no, I appreciate it, man."
2,1,405.7599983,408.5200005," I'll check in with you and see how that better deal went,"
2,1,408.5200005,410.7200012, because everybody tells me they got a better deal.
2,1,410.7200012,413.2400017, I always hear from them within 24 hours.
2,0,413.2400017,414.0800018," All right, sounds good."
2,1,414.0800018,414.9199982, You can call me back.
2,1,414.9199982,416.0800018," You can call me, beat me, page me,"
2,1,416.0800018,417.0800018, whatever makes more sense.
2,0,417.0800018,417.9199982," See you, Tom."
2,1,417.9199982,419," All right, all right, see you, buddy."
2,1,419,419.8400002, Bye-bye.
2,1,420.9599991,421.7999992, Thank you for holding.
3,1,421.7999992,422.6399994, This is John in sales.
3,1,422.6399994,423.4599991, How can I help you?
3,0,423.4599991,424.3000031," Hey, John, I was just trying to see"
3,0,424.3000031,426.7600021, if you guys have a car available.
3,1,426.7600021,428.9599991," Sure, were you looking at a new one or a used one?"
3,0,428.9599991,429.7799988, Brand new.
3,1,429.7799988,431.2399979," Okay, which car is it?"
3,0,431.2399979,436.2399979, It is a white Honda CRV Hybrid Sport Touring.
3,1,436.2799988,438.2399979, I know our website's not showing all the cars
3,1,438.2399979,439.7200012, that we have on our lot.
3,1,439.7200012,441.9599991," Let me just, I'm gonna run outside real quick"
3,1,441.9599991,442.8000031, and just check.
3,1,442.8000031,444.1200027, Can I put you on a brief hold
3,1,444.1200027,445.4400024, or do you want me to give you a call back?
3,0,445.4400024,447.1200027," You can put me on a brief hold, it's totally fine."
3,1,447.1200027,448.1999969," Okay, all right, no worries."
3,1,448.1999969,449.0400009," Just give me a few minutes, okay?"
3,1,449.0400009,449.8799973," All right, sounds good."
3,1,453.8799973,455," Okay, sorry about that."
3,1,455,457.3199997, So I don't have a white one.
3,1,457.3199997,458.6800003," I have a black one,"
