conversation_id,speaker_id,start_time,end_time,text,outcome,is_sale,duration,dealer,model,msrp,tsrp,add_ons
1,1,83.63999939,85.55999756," Hello, this is Eric from Epidus.",,,,Toyota Epidus,Toyota Sienna 2025," $61,421",,$53 
1,1,85.55999756,86.23999786, How can I help you?,,,,,,,,
1,0,86.23999786,87.68000031," Hey, are you in sales?",,,,,,,,
1,0,87.68000031,88.87999725," Yeah, I'm in sales, sir.",,,,,,,,
1,0,88.87999725,89.31999969, Awesome.,,,,,,,,
1,0,89.31999969,89.95999908, I want to see if you guys,,,,,,,,
1,0,89.95999908,92.44000244, have a vehicle available.,,,,,,,,
1,0,92.44000244,93.72000122, Yeah. Which car is it?,,,,,,,,
1,0,93.72000122,94.80000305, I have a stock number,,,,,,,,
1,0,94.80000305,95.44000244, whenever you're ready.,,,,,,,,
1,1,95.44000244,96.48000336," I'm ready, sir.",,,,,,,,
1,0,96.48000336,99.44000244," OK, it's S as in Sam, S as in Sienna,",,,,,,,,
1,0,99.76000214,103.2799988," 06, C as in Cyprus, 426.",,,,,,,,
1,1,103.4000015,104.6399994, You said 426?,,,,,,,,
1,0,104.6399994,105, Yeah.,,,,,,,,
1,0,105,107.5599976," S as 06, E 426.",,,,,,,,
1,0,107.5599976,109," C as in Cyprus, yeah.",,,,,,,,
1,1,109,110.7600021," OK, let me see.",,,,,,,,
1,1,110.7600021,112.4000015," Hmm, I don't see it.",,,,,,,,
1,1,112.4000015,113.7600021," Like, what kind of car is it?",,,,,,,,
1,0,113.7600021,115.6399994, The Toyota Sienna Cyprus.,,,,,,,,
1,1,115.6399994,117.5599976, Toyota Sienna.,,,,,,,,
1,1,117.5599976,119.5999985, Sienna. Platinum.,,,,,,,,
1,0,120,127.3200002, In the cypress color C is also is in Charlie or cat or color or cable,,,,,,,,
1,1,129.96,134.96," Okay, I see it's a Sienna platinum in the cypress you nailed it. Yep. Is that available?",,,,,,,,
1,1,137.7999992,139.7999992, So the car is not here yet,,,,,,,,
1,1,140.2800007,143.7999992, It is being allocated right now and it will be available,,,,,,,,
1,1,144.7999992,147.6599998, By the first week of like March. Okay,,,,,,,,
1,1,148.3799992,154.5800018," And this is the cypress color one, yeah, there's a green one. Yes. Okay, cool. It's not reserved or anything",,,,,,,,
1,1,155.2599983,157.2599983, Let me double-check real quick,,,,,,,,
1,0,157.4199982,157.9199982, Okay,,,,,,,,
1,1,157.9199982,164.6199989, So I see that is it is reserved but there's always a chance that the reservation get canceled because it's only $100,,,,,,,,
1,1,164.6199989,171.0600014, None to buy non-refundable deposits of people sometimes don't show up. So they have like 24 hours to you know,,,,,,,,
1,1,171.3800011,173.8600006, Come in and get the car. ,,,,,,,,
1,0,174.6199989,179.7000008," Okay, but I'm not a I'm not a gambling guy, you know, I'm type person, you know, I always lose when I go to the casino",,,,,,,,
1,0,179.7000008,181.7000008, So I don't like the chance,,,,,,,,
1,0,182.1399994,184.6600037, That a car I got it. I got yeah,,,,,,,,
1,1,184.6600037,188.8199997," So what I can do is, you know, I can call you when the car is here",,,,,,,,
1,1,188.8199997,195.5800018," It's and also it's like two months away, right? So yeah, it's better to just call you when the car is here. Oh, no worries",,,,,,,,
1,0,195.5800018,196.3399963, I'll,,,,,,,,
1,0,196.3399963,200.7399979," Yeah, I mean that's so if I'm gonna keep calling around I'm hoping to find one and put a deposit on one",,,,,,,,
1,0,200.7399979,206.9400024," So I'm gonna keep calling around and hopefully I will find one cross my fingers. Definitely. Yeah. Thank you, sir",,,,,,,,
1,1,206.9400024,208.9400024," Hey, no problem. I hope you find one too",,,,,,,,
1,1,212.3799973,217.3000031, Thank you for calling for quality of service this call may be recorded thank you for calling,,,,,,,,
2,0,218.0599976,222.3000031," Hey, I want to see if you guys have a car available",,,,,,,,
2,1,223.1800003,226.4199982, Which one you were looking at sir. I have a stock number whenever you're ready,,,,,,,,
