conversation_id,speaker_id,start_time,end_time,text,outcome,is_sale,duration,dealer,model,msrp,tsrp,add_ons
1,0,39.11999893,40.84000015," Hey, are you in sales?",,,,,Toyota Prius Prime XSE,,,
1,1,40.84000015,42.59999847," Yes, I'm in sales. How are you today, sir?",,,,,,,,
1,0,42.59999847,44.88000107, I am doing just wonderful. And how about yourself?,,,,,,,,
1,1,44.88000107,47," I'm doing well. What can I help you with today, sir?",,,,,,,,
1,0,47,49.84000015," Hey, so first off, I want to see if you guys have a car available.",,,,,,,,
1,1,50.43999863,52.04000092, What kind of car was it?,,,,,,,,
1,0,52.04000092,54.15999985, I have a stock number whenever you're ready.,,,,,,,,
1,1,54.15999985,56.72000122," OK, what's the stock number, PNX?",,,,,,,,
1,0,56.72000122,62.36000061," It is S as in stock, T as in TikTok, W as in walk.",,,,,,,,
1,0,62.36000061,64.23999786,24259,,,,,,,,
1,1,64.23999786,66.72000122, I just need the stock number.,,,,,,,,
1,0,66.83999634,70.63999939," S as in stock, T as in TikTok, W as in walk.",,,,,,,,
1,1,70.63999939,71.80000305, Is it new or used car?,,,,,,,,
1,0,71.80000305,74.68000031, It's a brand new car for the stock number that you asked me for.,,,,,,,,
1,1,74.91999817,75.95999908, What kind of car was it?,,,,,,,,
1,0,75.95999908,77.68000031, It's a Prius Prime XSE.,,,,,,,,
1,0,77.68000031,79.76000214, Am I ****ing Toyota?,,,,,,,,
1,1,79.76000214,81.83999634," Yeah, yeah. Prius, right?",,,,,,,,
1,0,82,83.12000275, It's a Prius Prime.,,,,,,,,
1,1,83.12000275,85.55999756," Is it limited or Prius Prime? No, don't worry about it.",,,,,,,,
1,0,85.68000031,87.95999908, Prius XSE Premium Hatchback.,,,,,,,,
1,1,88.27999878,90.16000366," OK, I'm saying XSE.",,,,,,,,
1,1,90.16000366,91.63999939, What color is it? Red.,,,,,,,,
1,1,91.63999939,96.80000305," OK, this one I'm seeing right here is a STW242729.",,,,,,,,
1,1,97.08000183,99.27999878, There's a red one hatchback.,,,,,,,,
1,0,99.63999939,101.5599976, Yeah. XSE242.,,,,,,,,
1,0,101.5599976,103.0400009," Yeah, that's the one.",,,,,,,,
1,1,103.0400009,105.2799988," Yeah, I have it. I have it in stock.",,,,,,,,
1,0,105.2799988,106.1999969, Awesome. Perfect.,,,,,,,,
1,0,106.1999969,108.3600006," Well, I am looking for the best possible deal.",,,,,,,,
1,0,108.3600006,109.8399963, I'm looking to lease this car.,,,,,,,,
1,1,109.8399963,111.9199982," Yeah, if you're trying to lease.",,,,,,,,
1,1,111.9199982,114.8000031," I mean, there's so many things I can do once it's a brand new one.",,,,,,,,
1,1,114.8000031,115.9599991," Yes, we can do anything.",,,,,,,,
1,0,115.9599991,116.6800003," Well, I'm sorry.",,,,,,,,
1,1,116.6800003,118.1200027, You're talking about leasing it.,,,,,,,,
1,1,118.1200027,118.9599991, Is that what you mean?,,,,,,,,
1,0,118.9599991,119.9599991," I mean, ideally.",,,,,,,,
1,1,120,122.6400001, That's the idea. I know you get the rebate releasing.,,,,,,,,
1,1,122.6400001,126.3200002, Okay. Do you say you're trying to lease the car or what are you trying to do?,,,,,,,,
1,0,126.3200002,128.3999996, I'm trying to lease the car. Yes.,,,,,,,,
1,1,128.3999996,130.8000002, Okay. Yeah. That's what I said. Are you here in F****?,,,,,,,,
1,0,130.8000002,131.6000004, I'm not.,,,,,,,,
1,1,131.6000004,133.9200001, Okay. What do you want me to do for you? Go ahead.,,,,,,,,
1,1,133.9200001,134.8000002, Sure. What do you need?,,,,,,,,
1,1,134.8000002,138.5599995," Do you want to buy? Do you want to do online credit? Do you want to, I mean,",,,,,,,,
1,1,139.4400005,141.4400005, you want me to deliver it for you?,,,,,,,,
1,1,141.4400005,142, I would listen.,,,,,,,,
1,1,142,143.2000008, What do you want me to do?,,,,,,,,
1,0,143.2000008,147.2000008, We haven't even gotten on a date yet. We got it. We got it. We got to get to know each other first.,,,,,,,,
1,0,147.2000008,150.7199993, I'd like to know your pricing on the car. Like a breakdown of the out the door.,,,,,,,,
1,1,150.7199993,154.3199997," Okay. So it's going to be listening. You know, you know much about the program,",,,,,,,,
1,1,154.3199997,158.0800018, about lease that you have to put some money down and all this stuff like that.,,,,,,,,
1,0,158.0800018,158.4799995, Yeah. Yeah.,,,,,,,,
1,1,158.4799995,160.4000015, Or you just want to know the price out the door.,,,,,,,,
1,0,160.4000015,162.0800018," Yeah. I really want to know the price out the door. You know,",,,,,,,,
1,0,162.0800018,165.7599983," I'm not too worried at the end about the lease numbers. I know that I can get,",,,,,,,,
1,0,165.7599983,169.0400009," I've done all the math. I'm more, let's figure out the price of the car and we'll go from there.",,,,,,,,
1,1,169.0400009,173.0400009, Okay. Let me go to work. Do you mind to call you or you want me to be texting? Because we,,,,,,,,
1,1,173.0400009,178.6399994," need to do some email now, you know, not to be on the safe side so that we can be communicating",,,,,,,,
1,1,178.6399994,181.9199982, cell phone and be emailing. Will you mind to give me your email?,,,,,,,,
1,0,181.9199982,184.2399979, I don't use email. I believe that's the devil's work.,,,,,,,,
1,1,184.2399979,189.7600021," Okay. Okay. No problem. I just asked you, you know? Okay. I'll go ahead and then my",,,,,,,,
